"issueId";0;"issueTypeCode"
951787;"O_CR01";"O_CR01"
952014;"O_CO08";"S_CO04"
952251;"O_CO02";"O_CO02"
952255;"O_CO03";"O_CO02"
952257;"O_CO02";"O_CO02"
952907;"D_4F01";"D_4F01"
954713;"D_4F01";"O_CR06"
954723;"D_4F01";"D_4F01"
954724;"D_4F01";"D_4F01"
954855;"O_CO06";"O_CO06"
954860;"D_4F01";"D_4F01"
954895;"R_4F07";"R_4F07"
955008;"S_CO04";"R_4F09"
955072;"O_CO03";"O_CO03"
955198;"O_CO06";"O_CO06"
955302;"O_CO02";"O_CO02"
955303;"O_CO03";"O_CO03"
955577;"R_4F05";"S_CO02"
955909;"O_CR06";"O_CR11"
956050;"D_4F01";"D_4F01"
956057;"S_CO03";"S_CO03"
956196;"O_CO03";"O_CO03"
956298;"S_CO03";"S_CO03"
956341;"R_4F07";"O_CR02"
957865;"O_CO06";"O_CO06"
959257;"D_4F01";"R_4F09"
959296;"S_CO04";"S_CO04"
959499;"O_CO02";"O_CO02"
959505;"O_CO03";"O_CO03"
959756;"D_4F01";"D_4F01"
960225;"D_4F01";"D_4F01"
961118;"O_CO02";"O_CO03"
961124;"O_CO02";"O_CO03"
961125;"O_CO02";"O_CO02"
961126;"O_CO02";"O_CO02"
961128;"O_CO02";"O_CO02"
961132;"O_CO03";"O_CO02"
961916;"D_4F01";"D_4F01"
966377;"D_4F01";"D_4F01"
966380;"D_4F01";"D_4F01"
972472;"D_4F01";"D_4F01"
972513;"O_CO02";"O_CO02"
972720;"R_4F08";"R_4F05"
972782;"O_CO06";"O_CO06"
972790;"O_CO06";"O_CO06"
973229;"S_CO01";"S_CO02"
973403;"O_CO06";"O_CO06"
973910;"O_CO06";"O_CO06"
974301;"D_4F01";"D_4F01"
974392;"R_4F04";"O_CO07"
975265;"O_CO06";"O_CO06"
975392;"S_CO01";"O_CR09"
976721;"O_CR01";"O_CR01"
978895;"D_4F01";"D_4F01"
980598;"O_CO02";"O_CO03"
980599;"O_CO02";"O_CO03"
980602;"O_CO02";"O_CO03"
980606;"O_CO02";"O_CO02"
980607;"O_CO02";"O_CO02"
980610;"O_CO02";"O_CO02"
980641;"O_CO08";"O_CO08"
980643;"O_CO08";"O_CO08"
980782;"O_CR02";"D_4F01"
981034;"O_CR02";"O_CR02"
981415;"S_CO04";"S_CO04"
981730;"O_HU01";"O_HU01"
981902;"O_CR02";"O_CR02"
981956;"O_CR06";"O_CR06"
981958;"O_CR06";"O_CR06"
982155;"O_CO03";"O_CO03"
982174;"D_4F01";"D_4F01"
982186;"O_CO03";"O_CO03"
982217;"O_CO03";"O_CO03"
982220;"O_CO02";"O_CO02"
982250;"O_CO02";"O_CO02"
982794;"O_CR07";"O_CR02"
983116;"O_CO02";"O_CO02"
983118;"O_CO02";"O_CO02"
984144;"O_CR09";"O_CR09"
984598;"D_4F01";"O_CR06"
984603;"D_4F01";"O_CR06"
984604;"D_4F01";"D_4F01"
984606;"D_4F01";"D_4F01"
985355;"O_CO06";"O_CO06"
985443;"D_4F01";"D_4F01"
987571;"O_CO02";"R_4F09"
987919;"O_CR01";"O_CR11"
990498;"O_CO01";"O_CO08"
990747;"O_CO02";"O_CO03"
990748;"O_CO02";"O_CO02"
990752;"O_CO02";"O_CO02"
991175;"D_4F01";"D_4F01"
992920;"O_CR07";"D_4F01"
993171;"O_CR02";"O_CR02"
993173;"O_CR01";"O_CR02"
993223;"O_CO02";"O_CO02"
993224;"O_CO02";"O_CO02"
994984;"O_CR01";"O_CR01"
996338;"O_CO03";"O_CO03"
996841;"O_CO04";"O_CR11"
997112;"D_4F01";"D_4F01"
998036;"O_CR02";"O_CR02"
998826;"O_CO02";"O_CO03"
1001211;"O_CO08";"O_CO08"
1001213;"O_CO08";"O_CO08"
1003753;"D_4F01";"D_4F01"
1003939;"R_4F04";"R_4F04"
1005025;"O_CO02";"O_CO03"
1005690;"D_4F01";"D_4F01"
1005691;"D_4F01";"D_4F01"
1007587;"O_CO03";"O_CO03"
1007591;"O_CO03";"O_CO03"
1007603;"O_CR06";"R_4F09"
1007670;"O_CO03";"O_CO03"
1007672;"O_CO02";"O_CO02"
1007719;"O_CO03";"O_CO03"
1007744;"O_CO03";"O_CO03"
1008788;"R_4F09";"R_4F07"
1008923;"O_CO03";"O_CO03"
1014070;"D_4F01";"D_4F01"
1016521;"O_CO06";"O_CO06"
1017754;"O_CO02";"O_CO03"
1017757;"O_CO02";"O_CO03"
1017758;"O_CO02";"O_CO03"
1018393;"D_4F01";"D_4F01"
1029282;"O_CR01";"O_CR02"
1029368;"O_CO02";"O_CO02"
1034473;"S_CO04";"S_CO04"
1034480;"O_CR07";"D_4F01"
1034996;"O_CR07";"R_4F07"
1035317;"O_CR01";"O_CR01"
1036563;"O_CO02";"O_CO02"
1036950;"O_CO02";"O_CO03"
1036951;"O_CO03";"O_CO03"
1036955;"O_CO02";"O_CO03"
1036959;"O_CO02";"O_CO02"
1036960;"O_CO03";"O_CO02"
1036961;"O_CO03";"O_CO02"
1037765;"D_4F01";"D_4F01"
1037766;"D_4F01";"D_4F01"
1040051;"O_CR07";"O_RE02"
1040343;"O_CO08";"O_CO08"
1040544;"O_CO02";"O_CO02"
1040757;"O_CR07";"O_CR07"
1040879;"O_CO03";"O_CO03"
1040882;"O_CO02";"O_CO02"
1040883;"O_CO03";"O_CO03"
1040918;"O_CO03";"O_CO03"
1040919;"O_CO02";"O_CO02"
1041425;"D_4F01";"D_4F01"
1041429;"D_4F01";"D_4F01"
1041467;"O_CO06";"O_CO06"
1041536;"R_4F09";"R_4F01"
1041800;"D_4F01";"D_4F01"
1041877;"R_4F09";"O_CR02"
1042016;"O_HU01";"O_HU01"
1042106;"O_CR06";"O_CR07"
1045733;"D_4F01";"O_CR08"
1047413;"R_4F07";"D_4F01"
1048802;"D_4F01";"O_CO06"
1048812;"O_CR01";"O_CR01"
1049345;"O_CO03";"O_CO03"
1049392;"R_4F04";"S_CO03"
1049653;"O_CO02";"O_CO02"
1049955;"O_CO02";"O_CO02"
1049960;"O_CO02";"O_CO02"
1050067;"O_CR06";"D_4F01"
1050506;"D_4F01";"D_4F01"
1052389;"D_4F01";"D_4F01"
1052393;"D_4F01";"D_4F01"
1055254;"O_CR02";"O_CO04"
1055431;"O_CR02";"O_CR02"
1055433;"O_CO08";"O_CO08"
1055455;"O_CO08";"O_CR08"
1055470;"O_CO03";"O_CO03"
1055471;"O_CO02";"O_CO02"
1055530;"O_CO02";"O_CO03"
1055532;"O_CO02";"O_CO03"
1055788;"O_CR01";"O_CR02"
1055853;"S_CO03";"S_CO01"
1056329;"O_CO03";"O_CO03"
1056332;"O_CO02";"O_CO02"
1056739;"D_4F01";"D_4F01"
1056740;"D_4F01";"D_4F01"
